Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.base.json	8132	-	0	0	0	0	0	0	2	73	0	0	0	0	0	0	0	0	0	0	67	42	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-Markdown.json	1153	6	0	0	0	0	0	13	0	17	0	0	0	0	0	0	0	0	0	0	57	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-SGActivityDefinition.json	899	6	0	0	0	0	0	33	0	21	0	0	0	0	0	0	0	0	0	0	286	361	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-SGBusinessProcess.json	691	6	1	0	0	0	0	55	0	23	0	0	1	0	0	0	0	1	0	0	348	349	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-SGCodeSystem.json	811	6	0	0	0	0	0	49	0	14	0	0	0	0	0	0	0	0	0	0	261	301	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-SGConceptMap.json	811	6	0	0	0	0	0	48	0	23	0	0	0	0	0	0	0	1	0	0	253	278	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-SGImplementationGuide.json	9487	18	0	0	0	0	0	439	0	64	0	0	0	0	0	0	0	1	0	0	1145	1089	0	0	0	23	1	1
fsh-generated/resources/StructureDefinition-SGLibrary.json	778	6	0	0	0	0	0	19	0	13	0	0	0	0	0	0	0	0	0	0	175	294	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-SGLogicalModel.json	6453	7	0	0	0	0	0	101	0	64	0	0	0	0	0	0	0	1	0	0	924	925	0	0	0	19	0	2
fsh-generated/resources/StructureDefinition-SGMeasure.json	778	6	0	0	0	0	0	24	0	27	0	0	0	0	0	0	0	1	0	0	294	522	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-SGPlanDefinition.json	855	6	0	0	0	0	0	60	0	27	0	0	0	0	0	0	0	0	0	0	365	486	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-SGQuestionnaire.json	844	6	0	0	0	0	0	16	0	21	0	0	1	0	0	0	0	1	0	0	288	304	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-SGStructureDefinition.json	790	6	0	0	0	0	0	12	0	13	0	0	0	0	0	0	0	0	0	0	259	252	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-SGStructureMap.json	1045	6	1	0	0	0	0	24	1	28	0	0	0	0	0	0	0	0	0	0	315	353	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-SGValueSet.json	789	6	0	0	0	0	0	24	0	28	0	0	0	0	0	0	0	1	0	0	334	350	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-Sgcode.json	1409	6	0	0	0	0	0	17	0	17	0	0	0	0	0	0	0	0	0	0	88	96	0	0	0	1	0	0
input/profiles/StructureDefinition-SGGroupDefinition.json	1505	6	0	0	0	0	0	40	0	24	0	0	0	0	0	0	0	0	0	0	257	280	0	0	0	5	0	0
